date,open,high,low,close,volume,returns,log_returns,volatility,sma_20,sma_60
2025-03-25,140.38,140.76,138.63,140.01,24606293,-0.0064575645756457245,-0.006478504843202922,0.13880148913616944,144.79749999999999,137.71583333333334
2025-03-26,138.06,138.91,136.12,138.47,16491241,-0.010999214341832708,-0.011060152963211358,0.1406291192178647,144.45499999999998,137.969
2025-03-27,138.67,138.75,138.55,138.58,49892631,0.0007943958980285437,0.0007940805326127515,0.11480307811995376,143.97449999999998,138.16350000000003
2025-03-28,140.32,142.08,139.73,140.39,35218052,0.013061047770240863,0.012976487784624471,0.12041656541791632,143.51299999999998,138.40183333333334
2025-03-31,139.1,139.3,137.76,138.99,10416041,-0.009972220243606889,-0.010022275887192936,0.1215490380650617,142.972,138.62800000000001
2025-04-01,140.45,142.51,139.15,140.21,39386055,0.008777609899992767,0.008739310636373456,0.1268974577953778,142.4645,138.87566666666666
2025-04-02,140.57,142.39,140.17,141.15,36151385,0.006704229370230408,0.006681855966458181,0.13191717480379325,142.031,139.11
2025-04-03,138.84,140.0,137.88,139.43,23366315,-0.012185618136733911,-0.012260471492568639,0.1358986458374382,141.544,139.351
2025-04-04,139.22,140.89,138.44,139.18,28464141,-0.001793014415835903,-0.0017946237902256399,0.13357781023330823,141.12,139.59416666666667
2025-04-07,137.09,138.5,136.87,136.88,39924988,-0.016525362839488467,-0.016663429832765992,0.13964081727195865,140.659,139.75683333333333
2025-04-08,137.58,139.31,136.47,137.66,20970047,0.005698421975453005,0.005682247386280151,0.14234616048323473,140.227,139.926
2025-04-09,136.39,137.41,134.99,136.38,41699441,-0.00929827110271686,-0.009341769877711318,0.14405859560287543,139.7615,140.0785
2025-04-10,138.89,139.41,138.56,138.76,47818000,0.017451239184631095,0.017300715009042043,0.14823264617149992,139.55800000000002,140.25033333333334
2025-04-11,141.26,143.36,140.78,141.25,25742321,0.017944652637647884,0.017785547925001508,0.15739079880263684,139.56650000000002,140.44116666666665
2025-04-14,141.77,142.93,140.85,141.69,33274483,0.003115044247787635,0.0031102025495851364,0.15634460613691578,139.635,140.64683333333332
2025-04-15,140.36,140.73,139.91,140.34,23175976,-0.009527842473004422,-0.009573522751992754,0.1600575494528813,139.6165,140.84766666666667
2025-04-16,140.93,141.45,139.82,140.83,48935703,0.0034915205928460757,0.0034854393858164056,0.16009241784042375,139.64499999999998,141.051
2025-04-17,136.96,138.13,136.86,137.2,31212258,-0.025775758006106875,-0.02611377391817431,0.18226189616539468,139.4405,141.14083333333332
2025-04-18,136.93,138.65,136.03,137.51,14395149,0.0022594752186588796,0.0022569264430685122,0.18197664399511002,139.29149999999998,141.20816666666667
2025-04-21,136.46,136.51,134.67,136.33,31819834,-0.008581194094974709,-0.00861822453681486,0.18321158440687935,139.06199999999998,141.20333333333332
2025-04-22,138.66,139.11,135.85,137.92,38139920,0.011662876842954306,0.01159538971734437,0.18805439965853699,138.9575,141.21483333333333
2025-04-23,133.88,135.9,133.19,134.03,44245973,-0.028204756380510343,-0.028610151424977574,0.20928901915045342,138.7355,141.13816666666668
2025-04-24,136.17,137.93,135.68,136.61,46475972,0.019249421771245334,0.019066495408990577,0.22189778098201873,138.637,141.10983333333334
2025-04-25,135.03,136.79,134.45,134.74,18227564,-0.013688602591318433,-0.013783155366882075,0.22032952544743176,138.3545,141.043
2025-04-28,136.6,138.12,135.83,136.38,45545485,0.012171589728365628,0.012098111559992939,0.22364504594842202,138.224,141.00166666666667
2025-04-29,131.35,132.04,131.1,131.95,38434950,-0.03248276873441858,-0.03302204414317381,0.2468346161735977,137.81099999999998,140.90933333333336
2025-04-30,134.67,134.7,132.63,134.53,6909732,0.019552860932171345,0.019364159548118525,0.25746100804543376,137.48,140.8875
2025-05-01,133.12,135.06,131.41,133.42,29857731,-0.008250947743997705,-0.008285175216082257,0.2558254641889083,137.17950000000002,140.82233333333335
2025-05-02,131.77,132.07,130.61,131.52,19349609,-0.014240743516714005,-0.01434311597349944,0.2594327640678694,136.7965,140.74383333333333
2025-05-05,131.53,131.91,129.66,131.53,10851041,7.603406326017748e-05,7.603117281730336e-05,0.25434073862937484,136.529,140.63766666666666
2025-05-06,134.31,136.03,131.78,133.7,34878672,0.016498137307078053,0.016363521627210064,0.2613936788720419,136.331,140.56633333333332
2025-05-07,131.51,132.64,129.7,131.41,7841311,-0.017127898279730713,-0.017276277452350792,0.26599669462484143,136.0825,140.4463333333333
2025-05-08,130.9,132.63,130.17,130.76,45207138,-0.004946351114831438,-0.0049586247995368005,0.256290278359127,135.68249999999998,140.36033333333333
2025-05-09,130.79,131.83,129.91,130.97,33096347,0.001605995717344877,0.0016047074853018082,0.24503066179907426,135.1685,140.2295
2025-05-12,135.73,136.17,133.83,135.35,30170984,0.033442773154157335,0.032895726718998534,0.27762797521299115,134.85150000000002,140.15383333333332
2025-05-13,135.37,135.96,133.43,135.02,11078514,-0.002438123383819657,-0.0024411004465856975,0.27626325210798147,134.5855,140.03799999999998
2025-05-14,134.33,136.05,132.82,134.81,35053436,-0.0015553251370168386,-0.0015565359107518257,0.27556441619886085,134.2845,139.92416666666668
