date,open,high,low,close,volume,returns,log_returns,volatility,sma_20,sma_60
2025-03-25,378.09,382.68,372.91,379.01,40507455,-0.017523394768903744,-0.017678746991840424,0.23951587239956315,385.938,377.6853333333333
2025-03-26,379.01,382.93,376.36,379.19,21660523,0.0004749215060289025,0.00047480876650399576,0.2368146397244535,385.70300000000003,377.93716666666666
2025-03-27,374.94,375.52,371.42,374.86,37886100,-0.011419077507318187,-0.011484775794281817,0.23909367150349237,385.37649999999996,378.0153333333334
2025-03-28,369.92,370.12,366.28,368.14,21287062,-0.01792669263191604,-0.018089322326263074,0.24660922951864536,384.7,377.8941666666667
2025-03-31,359.12,362.71,354.43,360.57,36137390,-0.020562829358396262,-0.02077718797176884,0.24044897483243344,383.25149999999996,377.634
2025-04-01,356.84,359.64,353.09,356.18,12019696,-0.01217516709654154,-0.012249891584947496,0.24230735958681646,381.6645,377.3685
2025-04-02,360.43,367.12,359.51,362.38,28700995,0.01740692908080188,0.01725716396010187,0.24957510385334009,380.697,377.1478333333333
2025-04-03,354.3,356.11,351.47,354.07,12514728,-0.02293172912412389,-0.023198751309191926,0.25957266547148483,379.45099999999996,376.91450000000003
2025-04-04,354.15,356.03,349.98,354.54,27946252,0.0013274211314147077,0.0013265408868686779,0.2512784265579704,377.9455,376.74066666666664
2025-04-07,351.92,356.86,351.43,352.58,33810408,-0.005528290178823392,-0.005543627728041005,0.2271586837090632,375.865,376.50083333333333
2025-04-08,359.01,362.39,353.96,358.87,47968396,0.017839922854387735,0.017682659058848048,0.23623264088847953,374.457,376.2543333333333
2025-04-09,363.82,367.54,358.1,362.7,21156011,0.01067238833003592,0.010615840372411332,0.23827436455388884,373.089,376.0165
2025-04-10,360.56,364.08,357.6,358.81,10522995,-0.010725117176730081,-0.010783045812551222,0.23935538254975397,371.6635,375.8061666666667
2025-04-11,352.91,359.79,352.81,355.02,5451827,-0.010562693347454188,-0.010618874559647861,0.21741990936360162,369.592,375.5853333333333
2025-04-14,351.17,354.29,346.59,351.79,26782954,-0.009098078981465751,-0.009139719258819217,0.20965462164723012,367.7835,375.3593333333334
2025-04-15,358.36,359.4,356.02,359.11,8476619,0.02080786833053816,0.020594341582735712,0.22728770561142975,366.2855,375.24300000000005
2025-04-16,354.61,356.27,352.67,355.18,10104062,-0.010943721979337795,-0.01100404501412493,0.2266846838289185,364.517,375.1155
2025-04-17,346.47,350.44,341.49,345.45,25442330,-0.027394560504532928,-0.02777678829164524,0.2287085856364262,362.766,374.8233333333334
2025-04-18,352.92,355.76,347.67,353.87,16673030,0.02437400492111741,0.024081699114501653,0.2503027930059937,361.4045,374.5516666666666
2025-04-21,355.1,355.93,353.63,355.15,12567332,0.003617147540057042,0.003610621394513407,0.2448741885997834,359.8735,374.3908333333333
2025-04-22,359.67,363.68,355.92,358.25,9835378,0.008728706180487267,0.008690831264462408,0.24339076749049415,358.8355,374.27850000000007
2025-04-23,352.59,353.35,348.47,351.34,39531933,-0.019288206559665122,-0.0194766511230444,0.24999094004770817,357.443,374.00733333333335
2025-04-24,355.22,355.56,349.14,354.14,33092113,0.007969488245004763,0.00793789959283378,0.2515083076047246,356.40700000000004,373.8125
2025-04-25,349.81,350.05,346.86,349.0,47521877,-0.014514033997853892,-0.014620392975643546,0.2490513016622067,355.45,373.4481666666667
2025-04-28,348.41,351.18,347.17,348.21,13087614,-0.002263610315186293,-0.002266176153786232,0.2397951410174979,354.832,373.18483333333336
2025-04-29,355.18,358.83,351.52,353.75,40310119,0.015909939404382456,0.015784702908806444,0.24410487747661072,354.7105,372.9898333333333
2025-04-30,358.44,361.08,356.1,358.49,13688987,0.013399293286219027,0.013310316690393285,0.2406546038154296,354.51599999999996,372.86699999999996
2025-05-01,357.48,361.91,355.67,356.69,6934086,-0.005021060559569301,-0.0050337084390824445,0.2264200681087252,354.647,372.78200000000004
2025-05-02,349.4,353.07,347.66,348.83,41449831,-0.02203594157391575,-0.022282359698198768,0.24001967945591615,354.3615,372.368
2025-05-05,342.19,344.19,338.69,341.63,28886297,-0.020640426568815706,-0.02085641743822047,0.24984269502177775,353.81399999999996,371.83183333333335
2025-05-06,343.28,348.19,339.45,342.26,17192183,0.0018441003424758406,0.0018424020769667506,0.23970147565994407,352.9835,371.24250000000006
2025-05-07,344.37,349.35,343.79,344.5,48923098,0.006544732075030701,0.006523408304407585,0.23718279451058413,352.0735,370.509
2025-05-08,342.92,343.65,341.04,342.7,45526310,-0.005224963715529829,-0.005238661573150189,0.2354392722652386,351.268,369.78849999999994
2025-05-09,342.94,345.15,339.7,344.02,34125844,0.0038517653924714512,0.0038443663376815738,0.23419666930013788,350.718,369.00249999999994
2025-05-12,335.54,338.14,332.09,335.92,16057619,-0.023545142724260115,-0.023826758842306877,0.2457674530845512,349.92449999999997,368.012
2025-05-13,334.26,337.89,330.47,335.17,48382939,-0.002232674446296712,-0.0022351705799495913,0.23029102082498454,348.7275,367.005
2025-05-14,337.53,339.18,333.93,336.76,5341543,0.004743861324104204,0.004732644673475037,0.2301564857169317,347.80649999999997,366.11466666666666
